c_score,auc,sample_size,iter
0.4,0.5,10,0
0.56,0.5,50,0
0.5,0.5,100,0
0.524,0.5,500,0
0.2,0.5,10,1
0.44,0.5,50,1
0.39,0.5,100,1
0.472,0.5,500,1
0.2,0.5,10,2
0.54,0.5,50,2
0.43,0.5,100,2
0.544,0.5,500,2
0.5,0.5,10,3
0.56,0.5,50,3
0.48,0.5,100,3
0.514,0.5,500,3
0.6,0.5,10,4
0.52,0.5,50,4
0.45,0.5,100,4
0.416,0.5,500,4
0.5,0.5,10,5
0.42,0.5,50,5
0.53,0.5,100,5
0.504,0.5,500,5
0.3,0.5,10,6
0.7,0.5,50,6
0.56,0.5,100,6
0.504,0.5,500,6
0.6,0.5,10,7
0.54,0.5,50,7
0.36,0.5,100,7
0.504,0.5,500,7
0.0,0.5,10,8
0.54,0.5,50,8
0.35,0.5,100,8
0.534,0.5,500,8
0.2,0.5,10,9
0.66,0.5,50,9
0.48,0.5,100,9
0.486,0.5,500,9
0.3,0.5,10,10
0.58,0.5,50,10
0.48,0.5,100,10
0.5,0.5,500,10
0.3,0.5,10,11
0.6,0.5,50,11
0.47,0.5,100,11
0.472,0.5,500,11
0.3,0.5,10,12
0.44,0.5,50,12
0.46,0.5,100,12
0.514,0.5,500,12
0.9,1.0,10,13
0.46,0.5,50,13
0.48,0.5,100,13
0.446,0.5,500,13
0.1,0.5,10,14
0.6,0.5,50,14
0.54,0.5,100,14
0.438,0.5,500,14
0.1,0.5,10,15
0.48,0.5,50,15
0.39,0.5,100,15
0.514,0.5,500,15
0.6,0.5,10,16
0.44,0.5,50,16
0.55,0.5,100,16
0.496,0.5,500,16
0.6,0.5,10,17
0.34,0.5,50,17
0.57,0.5,100,17
0.474,0.5,500,17
0.0,0.5,10,18
0.46,0.5,50,18
0.64,0.5,100,18
0.438,0.5,500,18
0.5,0.5,10,19
0.6,0.5,50,19
0.49,0.5,100,19
0.552,0.5,500,19
0.4,0.5,10,20
0.44,0.5,50,20
0.54,0.5,100,20
0.562,0.5,500,20
0.3,0.5,10,21
0.48,0.5,50,21
0.61,0.5,100,21
0.486,0.5,500,21
0.0,0.5,10,22
0.48,0.5,50,22
0.46,0.5,100,22
0.516,0.5,500,22
0.2,0.5,10,23
0.64,0.5,50,23
0.46,0.5,100,23
0.464,0.5,500,23
0.4,0.5,10,24
0.52,0.5,50,24
0.47,0.5,100,24
0.474,0.5,500,24
0.5,0.5,10,25
0.54,0.5,50,25
0.57,0.5,100,25
0.5,0.5,500,25
0.4,0.5,10,26
0.54,0.5,50,26
0.5,0.5,100,26
0.5,0.5,500,26
0.2,0.5,10,27
0.36,0.5,50,27
0.31,0.5,100,27
0.514,0.5,500,27
0.2,0.5,10,28
0.56,0.5,50,28
0.38,0.5,100,28
0.526,0.5,500,28
0.4,0.5,10,29
0.52,0.5,50,29
0.48,0.5,100,29
0.528,0.5,500,29
0.3,0.5,10,30
0.54,0.5,50,30
0.42,0.5,100,30
0.476,0.5,500,30
0.2,0.5,10,31
0.36,0.5,50,31
0.58,0.5,100,31
0.484,0.5,500,31
0.0,0.5,10,32
0.44,0.5,50,32
0.34,0.5,100,32
0.436,0.5,500,32
0.1,0.5,10,33
0.44,0.5,50,33
0.5,0.5,100,33
0.542,0.5,500,33
0.8,0.0,10,34
0.46,0.5,50,34
0.57,0.5,100,34
0.53,0.5,500,34
0.8,0.5,10,35
0.54,0.5,50,35
0.56,0.5,100,35
0.462,0.5,500,35
0.0,0.5,10,36
0.36,0.5,50,36
0.47,0.5,100,36
0.55,0.5,500,36
0.7,0.5,10,37
0.36,0.5,50,37
0.44,0.5,100,37
0.546,0.5,500,37
0.9,0.0,10,38
0.44,0.5,50,38
0.55,0.5,100,38
0.548,0.5,500,38
0.1,0.5,10,39
0.46,0.5,50,39
0.38,0.5,100,39
0.564,0.5,500,39
0.6,0.5,10,40
0.48,0.5,50,40
0.64,0.5,100,40
0.542,0.5,500,40
0.7,0.5,10,41
0.36,0.5,50,41
0.55,0.5,100,41
0.504,0.5,500,41
0.1,0.5,10,42
0.52,0.5,50,42
0.58,0.5,100,42
0.532,0.5,500,42
0.3,0.5,10,43
0.48,0.5,50,43
0.51,0.5,100,43
0.52,0.5,500,43
0.2,0.5,10,44
0.5,0.5,50,44
0.53,0.5,100,44
0.546,0.5,500,44
0.7,0.5,10,45
0.54,0.5,50,45
0.43,0.5,100,45
0.408,0.5,500,45
0.6,0.5,10,46
0.64,0.5,50,46
0.39,0.5,100,46
0.5,0.5,500,46
0.1,0.5,10,47
0.32,0.5,50,47
0.42,0.5,100,47
